GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2002 12 21  0  0  4 504  4.5040    157.61932   1265.08646    962.68527     -0.57927      0.49919     -0.08523    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14127  -0.40992  46.27058
       3 2002 12 21  0  0  8 841  4.3375    157.65065   1264.77557    962.68619     -1.10519      0.95775     -0.16830    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14095  -0.40992  46.23914
       4 2002 12 21  0  0 13 181  4.3401    157.65500   1264.46921    962.68841     -1.57037      1.37537     -0.24869    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14063  -0.40992  46.24702
       5 2002 12 21  0  0 17 523  4.3422    157.64521   1264.16999    962.69118     -1.93563      1.74876     -0.32881    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14032  -0.40992  46.24244
       6 2002 12 21  0  0 21 867  4.3434    157.62661   1263.87552    962.69430     -2.21684      2.12188     -0.40875    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14000  -0.40992  46.21476
       7 2002 12 21  0  0 26 210  4.3436    157.62786   1263.58459    962.69767     -2.46558      2.47724     -0.48837    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13969  -0.40992  46.17920
       8 2002 12 21  0  0 30 554  4.3431    157.64634   1263.29663    962.70123     -2.83216      2.74200     -0.56754    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13937  -0.40992  46.12962
       9 2002 12 21  0  0 34 896  4.3422    157.66831   1263.01122    962.70485     -3.25901      2.91618     -0.64624    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13905  -0.40992  46.07874
      10 2002 12 21  0  0 39 236  4.3406    157.67004   1262.72807    962.70853     -3.67316      2.98181     -0.72448    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13874  -0.40992  46.01924
      11 2002 12 21  0  0 43 575  4.3383    157.66648   1262.44683    962.71225     -4.07557      3.09117     -0.80228    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13842  -0.40992  45.96212
      12 2002 12 21  0  0 47 911  4.3360    157.67078   1262.16719    962.71601     -4.52384      3.19320     -0.87956    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13811  -0.40992  45.89912
      13 2002 12 21  0  0 52 244  4.3339    157.69045   1261.88884    962.71979     -4.96619      3.17535     -0.95634    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13779  -0.40992  45.84002
      14 2002 12 21  0  0 56 576  4.3319    157.70795   1261.61152    962.72358     -5.39143      3.26921     -1.03277    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13748  -0.40992  45.77633
      15 2002 12 21  0  1  0 906  4.3297    157.70775   1261.33500    962.72736     -5.78736      3.27279     -1.10883    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13716  -0.40992  45.71719
      16 2002 12 21  0  1  5 234  4.3277    157.70214   1261.05903    962.73127     -6.14660      3.45514     -1.18460    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13685  -0.40992  45.65433
      17 2002 12 21  0  1  9 560  4.3260    157.69842   1260.78341    962.73521     -6.55764      3.49609     -1.26011    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13653  -0.40992  45.59655
      18 2002 12 21  0  1 13 884  4.3247    157.70223   1260.50797    962.73913     -7.00800      3.64699     -1.33516    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13622  -0.40992  45.53479
      19 2002 12 21  0  1 18 208  4.3237    157.70749   1260.23255    962.74303     -7.46134      3.78411     -1.40971    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13591  -0.40992  45.47792
