GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2017  8 21  0  0  4 896  4.8960    177.13319    905.51010    814.29526     -0.43897      0.59902     -0.08970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14124   0.20274  -1.00000
       3 2017  8 21  0  0  9 472  4.5769    177.14899    905.16841    814.15322     -0.83055      1.09651     -0.16964     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14090   0.20274  -1.00000
       4 2017  8 21  0  0 14  36  4.5636    177.16887    904.85529    814.01450     -1.13089      1.53806     -0.25096     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14057   0.20274  -1.00000
       5 2017  8 21  0  0 18 587  4.5509    177.19404    904.55899    813.87817     -1.37626      1.96697     -0.33596     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14024   0.20274  -1.00000
       6 2017  8 21  0  0 23 127  4.5398    177.23083    904.27396    813.74389     -1.56954      2.33008     -0.42525     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13991   0.20274  -1.00000
       7 2017  8 21  0  0 27 657  4.5306    177.28259    903.99711    813.61154     -1.74417      2.62428     -0.51838     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13958   0.20274  -1.00000
       8 2017  8 21  0  0 32 181  4.5236    177.34242    903.72648    813.48094     -1.82967      2.85968     -0.61502     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13925   0.20274  -1.00000
       9 2017  8 21  0  0 36 701  4.5201    177.39732    903.46071    813.35195     -2.04342      3.10801     -0.71574     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13892   0.20273  -1.00000
      10 2017  8 21  0  0 41 222  4.5210    177.43804    903.19876    813.22449     -2.24112      3.33298     -0.82062     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13859   0.20273  -1.00000
      11 2017  8 21  0  0 45 748  4.5255    177.48254    902.93992    813.09862     -2.42710      3.49726     -0.92951     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13827   0.20273  -1.00000
      12 2017  8 21  0  0 50 280  4.5325    177.53448    902.68370    812.97435     -2.63241      3.59044     -1.04223     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13794   0.20273  -1.00000
      13 2017  8 21  0  0 54 819  4.5393    177.57647    902.42983    812.85171     -2.82299      3.70744     -1.15865     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13761   0.20273  -1.00000
      14 2017  8 21  0  0 59 366  4.5463    177.59916    902.17803    812.73073     -2.98818      3.83141     -1.27876     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13728   0.20273  -1.00000
      15 2017  8 21  0  1  3 921  4.5551    177.61219    901.92790    812.61142     -3.16943      3.94346     -1.40259     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13694   0.20273  -1.00000
      16 2017  8 21  0  1  8 487  4.5663    177.62997    901.67910    812.49383     -3.35657      4.07899     -1.52975     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13661   0.20273  -1.00000
      17 2017  8 21  0  1 13  65  4.5778    177.63950    901.43156    812.37800     -3.52053      4.13229     -1.65967     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13628   0.20273  -1.00000
      18 2017  8 21  0  1 17 653  4.5880    177.63254    901.18537    812.26388     -3.72011      4.33224     -1.79205     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13595   0.20273  -1.00000
      19 2017  8 21  0  1 22 250  4.5967    177.61309    900.94048    812.15155     -3.91544      4.49113     -1.92683     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13561   0.20273  -1.00000
      20 2017  8 21  0  1 26 854  4.6045    177.59498    900.69675    812.04105     -4.08607      4.76624     -2.06400     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13528   0.20273  -1.00000
      21 2017  8 21  0  1 31 466  4.6121    177.58536    900.45398    811.93249     -4.30886      4.95762     -2.20286     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13494   0.20273  -1.00000
      22 2017  8 21  0  1 36  85  4.6187    177.56933    900.21218    811.82575     -4.62390      5.17272     -2.34245     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13461   0.20273  -1.00000
      23 2017  8 21  0  1 40 709  4.6235    177.53341    899.97123    811.72098     -4.95263      5.50468     -2.48381     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13427   0.20273  -1.00000
      24 2017  8 21  0  1 45 336  4.6271    177.49234    899.73118    811.61830     -5.44887      5.78765     -2.62562     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13393   0.20273  -1.00000
      25 2017  8 21  0  1 49 966  4.6306    177.46382    899.49215    811.51781     -6.06574      6.20915     -2.76748     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13360   0.20273  -1.00000
      26 2017  8 21  0  1 54 600  4.6334    177.44492    899.25394    811.41946     -6.54043      6.50578     -2.91001     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13326   0.20273  -1.00000
      27 2017  8 21  0  1 59 234  4.6344    177.41263    899.01640    811.32330     -6.76672      6.87794     -3.05156     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13292   0.20273  -1.00000
      28 2017  8 21  0  2  3 868  4.6338    177.37126    898.77933    811.22936     -7.44788      7.36844     -3.19315     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13258   0.20273  -1.00000
      29 2017  8 21  0  2  8 501  4.6327    177.33909    898.54248    811.13794     -7.92416      7.67848     -3.33523     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13225   0.20273  -1.00000
      30 2017  8 21  0  2 13 132  4.6313    177.32497    898.30602    811.04918     -8.72404      8.29593     -3.47507     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13191   0.20273  -1.00000
      31 2017  8 21  0  2 17 761  4.6292    177.30883    898.07001    810.96300     -9.04276      8.76311     -3.61415     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13157   0.20273  -1.00000
      32 2017  8 21  0  2 22 388  4.6265    177.28318    897.83410    810.87956     -9.52507      9.13644     -3.75232     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13124   0.20273  -1.00000
      33 2017  8 21  0  2 27  11  4.6237    177.25781    897.59804    810.79876    -10.17623      9.84694     -3.88786     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13090   0.20273  -1.00000
      34 2017  8 21  0  2 31 632  4.6207    177.24477    897.36119    810.72090    -10.72821     10.33965     -4.02390     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13057   0.20273  -1.00000
      35 2017  8 21  0  2 36 249  4.6173    177.24202    897.12329    810.64614    -11.69650     10.89952     -4.15760     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13023   0.20273  -1.00000
      36 2017  8 21  0  2 40 863  4.6135    177.23981    896.88435    810.57463    -12.06091     11.63437     -4.28721     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12989   0.20273  -1.00000
      37 2017  8 21  0  2 45 473  4.6101    177.23524    896.64386    810.50652    -12.46732     12.07106     -4.41649     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12956   0.20273  -1.00000
      38 2017  8 21  0  2 50  80  4.6076    177.23093    896.40144    810.44199    -13.22472     12.80568     -4.54208     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12922   0.20272  -1.00000
      39 2017  8 21  0  2 54 686  4.6055    177.23050    896.15717    810.38128    -13.74349     13.61830     -4.66446     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12889   0.20272  -1.00000
      40 2017  8 21  0  2 59 289  4.6029    177.23700    895.91038    810.32473    -15.09315     14.03361     -4.78402     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12855   0.20272  -1.00000
      41 2017  8 21  0  3  3 889  4.5997    177.24701    895.66093    810.27258    -15.73224     14.96054     -4.89740     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12822   0.20272  -1.00000
      42 2017  8 21  0  3  8 485  4.5966    177.25722    895.40818    810.22520    -15.57759     15.78051     -5.00632     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12789   0.20272  -1.00000
      43 2017  8 21  0  3 13  80  4.5945    177.26861    895.15185    810.18303    -16.65193     16.10164     -5.11287     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12755   0.20272  -1.00000
      44 2017  8 21  0  3 17 673  4.5938    177.28163    894.89198    810.14642    -16.93350     17.31721     -5.21239     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12722   0.20272  -1.00000
      45 2017  8 21  0  3 22 267  4.5938    177.29372    894.62870    810.11618    -18.85736     18.19539     -5.30628     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12688   0.20272  -1.00000
      46 2017  8 21  0  3 26 861  4.5936    177.30328    894.36235    810.09276    -20.04009     18.54223     -5.39303     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12655   0.20272  -1.00000
      47 2017  8 21  0  3 31 454  4.5930    177.31307    894.09331    810.07676    -20.18796     19.84352     -5.47094     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12622   0.20272  -1.00000
