GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  F
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       4 2002  3 18  0  0 14 181  4.6956    194.77836    932.45502    873.35731     -0.74414      0.37863      0.00268    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14056  -0.01682  -1.00000
       6 2002  3 18  0  0 23 588  4.7054    194.77290    932.43663    873.36648     -1.20032      0.51801      0.02001    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13988  -0.01682  -1.00000
       8 2002  3 18  0  0 33  11  4.7135    194.80714    932.42372    873.36857     -1.58015      0.64969      0.03743    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13919  -0.01682  -1.00000
      10 2002  3 18  0  0 42 447  4.7191    194.83652    932.42340    873.36833     -1.99207      0.79714      0.05341    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13851  -0.01682  -1.00000
      12 2002  3 18  0  0 51 882  4.7160    194.89439    932.43053    873.36744     -2.29016      0.94469      0.06708    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13782  -0.01682  -1.00000
      14 2002  3 18  0  1  1 306  4.7104    194.91424    932.44167    873.36632     -2.50364      1.08540      0.07767    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13713  -0.01682  -1.00000
      16 2002  3 18  0  1 10 715  4.7027    194.94362    932.45584    873.36506     -2.74132      1.22016      0.08452    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13645  -0.01682  -1.00000
      18 2002  3 18  0  1 20 110  4.6957    194.94314    932.47275    873.36342     -3.02599      1.35461      0.08734    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13577  -0.01682  -1.00000
      21 2002  3 18  0  1 34 179  4.6870    194.94356    932.50426    873.35939     -3.81781      1.54887      0.08249    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13474  -0.01682  -1.00000
      23 2002  3 18  0  1 43 547  4.6834    194.92348    932.52882    873.35461     -4.56671      1.69902      0.07337    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13406  -0.01681  -1.00000
      25 2002  3 18  0  1 52 910  4.6806    194.90758    932.55623    873.34714     -5.04635      1.85854      0.06008    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13338  -0.01681  -1.00000
      27 2002  3 18  0  2  2 268  4.6787    194.88203    932.58702    873.33588     -5.85385      2.01064      0.04264    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13270  -0.01681  -1.00000
      29 2002  3 18  0  2 11 623  4.6774    194.85486    932.62092    873.31985     -6.48707      2.16948      0.02224    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13202  -0.01681  -1.00000
      31 2002  3 18  0  2 20 979  4.6777    194.82483    932.66004    873.29798     -7.22296      2.30665     -0.00108    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13134  -0.01681  -1.00000
      33 2002  3 18  0  2 30 335  4.6781    194.79589    932.70135    873.26907     -8.20877      2.42692     -0.02825    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13066  -0.01681  -1.00000
      36 2002  3 18  0  2 44 370  4.6789    194.74842    932.76413    873.21028     -9.13567      2.58960     -0.07420    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12964  -0.01681  -1.00000
      38 2002  3 18  0  2 53 730  4.6804    194.72121    932.80292    873.15914    -10.02950      2.70508     -0.10999    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12896  -0.01681  -1.00000
      40 2002  3 18  0  3  3  94  4.6824    194.69614    932.83493    873.09715    -10.84581      2.78538     -0.15067    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12828  -0.01681  -1.00000
      42 2002  3 18  0  3 12 461  4.6838    194.67146    932.85521    873.02317    -11.69723      3.54268     -0.19725    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12760  -0.01681  -1.00000
      44 2002  3 18  0  3 21 831  4.6856    194.64568    932.85765    872.93603    -12.54733      3.92127     -0.25260    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12692  -0.01681  -1.00000
      46 2002  3 18  0  3 31 206  4.6882    194.62599    932.83497    872.83463    -13.82921      5.00951     -0.31824    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12623  -0.01681  -1.00000
      48 2002  3 18  0  3 40 587  4.6910    194.61176    932.77885    872.71797    -14.55265      5.58789     -0.39604    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12555  -0.01680  -1.00000
      51 2002  3 18  0  3 54 667  4.6943    194.59507    932.61103    872.51252    -16.31236      7.01562     -0.53733    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12453  -0.01680  -1.00000
      53 2002  3 18  0  4  4  58  4.6960    194.58416    932.42781    872.35432    -17.43411      8.08510     -0.65279    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12384  -0.01680  -1.00000
      55 2002  3 18  0  4 13 453  4.6979    194.57756    932.17425    872.17943    -18.75712      8.95460     -0.78553    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12316  -0.01680  -1.00000
      57 2002  3 18  0  4 22 851  4.6997    194.57667    931.83933    871.98888    -19.31116     10.18864     -0.93425    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12248  -0.01680  -1.00000
      59 2002  3 18  0  4 32 252  4.7006    194.57761    931.93989    871.78459    -21.52801     11.86740     -1.10416    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12179  -0.01680  -1.00000
      61 2002  3 18  0  4 41 653  4.7002    194.57522    932.57296    871.57062    -21.60893     12.47699     -1.29301    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12111  -0.01680  -1.00000
      63 2002  3 18  0  4 51  52  4.6996    194.56812    932.63275    871.35251    -24.21550     14.15177     -1.50034    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12043  -0.01680  -1.00000
      65 2002  3 18  0  5  0 452  4.6996    194.56489    933.13553    871.13758    -24.64100     16.67717     -1.72292    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11974  -0.01680  -1.00000
      68 2002  3 18  0  5 14 550  4.6988    194.56263    933.04231    870.84240    -25.71555     17.97166     -2.09235    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11872  -0.01680  -1.00000
      70 2002  3 18  0  5 23 944  4.6969    194.55367    932.88039    870.67955    -29.12225     20.15039     -2.35431    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11803  -0.01680  -1.00000
      72 2002  3 18  0  5 33 336  4.6954    194.53917    937.80078    870.55577    -28.54905     23.41322     -2.62104    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11735  -0.01679  -1.00000
